IP,TRUE_COUNT,STD_CMS,VARIANT_CMS,ABS_ERROR_STD,ABS_ERROR_VAR
172.16.0.2462,13,13,15,0,2
172.16.0.1344,14,14,15,0,1
172.16.0.464,13,13,15,0,2
172.16.0.3450,14,14,16,0,2
172.16.0.1554,9,9,11,0,2
172.16.0.4241,14,14,15,0,1
172.16.0.3172,9,9,10,0,1
172.16.0.518,9,9,11,0,2
172.16.0.222,14,14,15,0,1
172.16.0.1037,16,16,18,0,2
172.16.0.1091,7,7,9,0,2
172.16.0.1649,15,15,16,0,1
172.16.0.4384,10,10,11,0,1
172.16.0.3651,13,13,15,0,2
172.16.0.567,15,15,17,0,2
172.16.0.1761,12,12,14,0,2
172.16.0.1550,11,24,11,13,0
172.16.0.3010,10,10,13,0,3
172.16.0.1914,12,12,16,0,4
172.16.0.315,11,11,12,0,1
172.16.0.1481,12,12,15,0,3
172.16.0.3605,15,15,18,0,3
172.16.0.4499,12,12,13,0,1
172.16.0.1179,8,8,10,0,2
172.16.0.4468,21,34,21,13,0
172.16.0.4065,20,20,21,0,1
172.16.0.3686,13,13,15,0,2
172.16.0.1802,5,5,8,0,3
172.16.0.904,8,8,9,0,1
172.16.0.3618,17,17,18,0,1
172.16.0.3509,11,11,12,0,1
172.16.0.1527,12,12,13,0,1
172.16.0.1104,11,11,12,0,1
172.16.0.53,14,23,14,9,0
172.16.0.4502,15,15,16,0,1
172.16.0.2663,8,8,12,0,4
172.16.0.4087,11,11,13,0,2
172.16.0.4600,12,12,13,0,1
172.16.0.1352,11,11,12,0,1
172.16.0.3353,5,5,7,0,2
172.16.0.665,14,14,15,0,1
172.16.0.1209,7,7,9,0,2
172.16.0.1393,12,12,14,0,2
172.16.0.101,16,16,17,0,1
172.16.0.224,7,7,12,0,5
172.16.0.4793,10,10,11,0,1
172.16.0.4650,10,10,11,0,1
172.16.0.4044,11,11,13,0,2
172.16.0.1066,10,10,11,0,1
172.16.0.2510,11,11,13,0,2
172.16.0.3113,14,14,15,0,1
172.16.0.3314,9,9,10,0,1
172.16.0.717,11,11,14,0,3
172.16.0.3526,5,5,8,0,3
172.16.0.284,9,9,10,0,1
172.16.0.4435,15,15,17,0,2
172.16.0.3761,8,8,9,0,1
172.16.0.2730,8,8,10,0,2
172.16.0.2449,11,11,13,0,2
172.16.0.244,13,13,14,0,1
172.16.0.4171,17,17,20,0,3
172.16.0.2725,7,7,8,0,1
172.16.0.1359,9,9,11,0,2
172.16.0.4563,8,8,10,0,2
172.16.0.1726,10,10,11,0,1
172.16.0.2938,13,13,14,0,1
172.16.0.3288,8,8,13,0,5
172.16.0.554,10,10,12,0,2
172.16.0.3102,8,8,10,0,2
172.16.0.3357,13,13,14,0,1
172.16.0.3962,9,9,10,0,1
172.16.0.260,10,10,11,0,1
172.16.0.2587,18,18,19,0,1
172.16.0.2168,13,13,14,0,1
172.16.0.2517,13,34,13,21,0
172.16.0.2174,9,9,11,0,2
172.16.0.659,15,15,16,0,1
172.16.0.2871,11,11,12,0,1
172.16.0.3803,12,12,13,0,1
172.16.0.421,7,7,8,0,1
172.16.0.3888,11,11,16,0,5
172.16.0.3556,13,13,14,0,1
172.16.0.251,8,8,9,0,1
172.16.0.139,15,15,16,0,1
172.16.0.3213,8,8,9,0,1
172.16.0.2630,16,16,19,0,3
172.16.0.2180,5,5,6,0,1
172.16.0.236,3,3,6,0,3
172.16.0.4857,10,10,11,0,1
172.16.0.307,13,13,16,0,3
172.16.0.2346,13,13,14,0,1
172.16.0.4350,8,8,9,0,1
172.16.0.3588,9,9,10,0,1
172.16.0.3808,14,14,15,0,1
172.16.0.3781,15,15,16,0,1
172.16.0.3198,8,8,10,0,2
172.16.0.2996,13,13,16,0,3
172.16.0.132,7,7,8,0,1
172.16.0.1178,10,10,11,0,1
172.16.0.1569,12,12,13,0,1
172.16.0.2855,11,11,12,0,1
172.16.0.2050,9,9,14,0,5
172.16.0.4178,15,15,16,0,1
172.16.0.742,6,6,9,0,3
172.16.0.2981,12,12,13,0,1
172.16.0.3227,10,10,12,0,2
172.16.0.2820,13,13,15,0,2
172.16.0.3021,12,12,14,0,2
172.16.0.1772,14,20,14,6,0
172.16.0.634,8,8,11,0,3
172.16.0.3690,8,17,8,9,0
172.16.0.1976,8,8,11,0,3
172.16.0.2489,12,12,13,0,1
172.16.0.4327,9,9,11,0,2
172.16.0.2687,13,13,14,0,1
172.16.0.965,16,16,17,0,1
172.16.0.38,13,13,14,0,1
172.16.0.4279,17,17,18,0,1
172.16.0.1211,7,7,8,0,1
172.16.0.1131,11,11,13,0,2
172.16.0.4096,11,11,12,0,1
172.16.0.1150,4,4,6,0,2
172.16.0.474,9,9,10,0,1
172.16.0.747,7,7,11,0,4
172.16.0.3673,16,16,17,0,1
172.16.0.3751,7,7,10,0,3
172.16.0.975,11,11,12,0,1
172.16.0.2816,12,12,13,0,1
172.16.0.2162,12,12,13,0,1
172.16.0.2638,10,10,13,0,3
172.16.0.281,3,3,4,0,1
172.16.0.454,7,7,9,0,2
172.16.0.2535,7,7,8,0,1
172.16.0.4131,9,9,10,0,1
172.16.0.3589,9,9,11,0,2
172.16.0.2405,15,15,16,0,1
172.16.0.4353,8,8,10,0,2
172.16.0.4605,13,13,15,0,2
172.16.0.4780,7,7,9,0,2
172.16.0.2171,7,7,8,0,1
172.16.0.1556,5,5,6,0,1
172.16.0.662,6,6,7,0,1
172.16.0.1470,12,12,14,0,2
172.16.0.4813,13,13,16,0,3
172.16.0.1807,15,15,17,0,2
172.16.0.4277,13,13,14,0,1
172.16.0.3729,8,8,9,0,1
172.16.0.2442,9,9,10,0,1
172.16.0.4638,12,12,13,0,1
172.16.0.3017,13,13,15,0,2
172.16.0.3273,10,10,12,0,2
172.16.0.3414,9,20,9,11,0
172.16.0.4656,10,10,12,0,2
172.16.0.550,14,14,15,0,1
172.16.0.1776,15,15,17,0,2
172.16.0.1223,7,7,9,0,2
172.16.0.2146,8,8,10,0,2
172.16.0.4251,15,15,16,0,1
172.16.0.4694,10,10,12,0,2
172.16.0.2522,11,11,13,0,2
172.16.0.4188,11,11,13,0,2
172.16.0.2915,5,5,6,0,1
172.16.0.4481,11,11,13,0,2
172.16.0.1328,8,8,9,0,1
172.16.0.4725,8,8,10,0,2
172.16.0.337,17,17,19,0,2
172.16.0.263,10,10,12,0,2
172.16.0.2657,10,10,12,0,2
172.16.0.984,12,12,13,0,1
172.16.0.3489,12,12,13,0,1
172.16.0.265,5,5,8,0,3
172.16.0.1248,9,9,10,0,1
172.16.0.3553,9,9,10,0,1
172.16.0.2488,11,11,12,0,1
172.16.0.479,9,9,11,0,2
172.16.0.4140,14,14,15,0,1
172.16.0.2434,13,13,15,0,2
172.16.0.2691,9,9,10,0,1
172.16.0.800,4,10,8,6,4
172.16.0.2350,5,5,6,0,1
172.16.0.1468,7,7,10,0,3
172.16.0.697,10,10,12,0,2
172.16.0.3344,11,11,12,0,1
172.16.0.846,13,13,16,0,3
172.16.0.1157,5,5,7,0,2
172.16.0.1662,10,10,12,0,2
172.16.0.1843,18,18,19,0,1
172.16.0.2477,10,10,11,0,1
172.16.0.2536,7,7,9,0,2
172.16.0.3072,9,9,11,0,2
172.16.0.4894,8,8,9,0,1
172.16.0.2962,6,6,9,0,3
172.16.0.2394,8,8,10,0,2
172.16.0.4907,11,11,15,0,4
172.16.0.905,15,15,16,0,1
172.16.0.4828,8,8,10,0,2
172.16.0.3083,10,10,11,0,1
172.16.0.2250,12,12,13,0,1
172.16.0.3067,5,5,6,0,1
172.16.0.4031,5,5,7,0,2
172.16.0.4337,11,11,13,0,2
172.16.0.2605,14,14,15,0,1
172.16.0.4220,8,8,9,0,1
172.16.0.3970,10,10,13,0,3
172.16.0.4359,5,5,8,0,3
172.16.0.3949,11,11,15,0,4
172.16.0.2113,4,4,5,0,1
172.16.0.486,12,12,14,0,2
172.16.0.2102,12,12,13,0,1
172.16.0.3621,6,6,7,0,1
172.16.0.4428,9,9,10,0,1
172.16.0.423,9,9,10,0,1
172.16.0.2922,5,5,7,0,2
172.16.0.3857,7,7,8,0,1
172.16.0.1969,8,8,10,0,2
172.16.0.3577,8,8,10,0,2
172.16.0.2505,13,13,16,0,3
172.16.0.362,10,10,11,0,1
172.16.0.71,13,13,14,0,1
172.16.0.1219,8,8,9,0,1
172.16.0.1658,12,12,13,0,1
172.16.0.1525,10,10,11,0,1
172.16.0.1616,12,12,15,0,3
172.16.0.4937,17,29,17,12,0
172.16.0.4221,9,9,10,0,1
172.16.0.4781,10,10,11,0,1
172.16.0.4399,12,12,14,0,2
172.16.0.3719,6,6,8,0,2
172.16.0.1632,13,13,14,0,1
172.16.0.711,13,13,14,0,1
172.16.0.255,8,8,9,0,1
172.16.0.1621,10,10,11,0,1
172.16.0.1271,11,11,14,0,3
172.16.0.4972,7,7,8,0,1
172.16.0.4480,13,13,16,0,3
172.16.0.1504,11,20,12,9,1
172.16.0.919,15,15,18,0,3
172.16.0.1836,13,13,15,0,2
172.16.0.2199,10,10,14,0,4
172.16.0.1896,9,9,11,0,2
172.16.0.553,11,11,12,0,1
172.16.0.3124,10,10,11,0,1
172.16.0.1115,6,6,9,0,3
172.16.0.2822,5,5,7,0,2
172.16.0.1065,13,13,15,0,2
172.16.0.1540,10,10,11,0,1
172.16.0.3741,12,12,13,0,1
172.16.0.1777,9,9,11,0,2
172.16.0.3594,9,9,10,0,1
172.16.0.361,6,6,7,0,1
172.16.0.1602,7,7,8,0,1
172.16.0.1669,7,7,9,0,2
